ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
124,0.000,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:163(match)
11,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:565(<genexpr>)
4,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:723(<listcomp>)
4,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:724(<listcomp>)
4/2,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:725(<listcomp>)
2,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:745(<listcomp>)
2,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:753(<listcomp>)
1,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/_pytest/_code/code.py:67(__init__)
10,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:668(<listcomp>)
687,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:660(_is_kw_only)
1,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/_pytest/_code/code.py:80(firstlineno)
209,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:1052(<listcomp>)
208,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:1046(<listcomp>)
82,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:421(_unwrap_partial)
77,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:518(decorating_function)
2,0.000,0.000,0.002,0.001,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:904(wrapper)
339,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:38(_is_descriptor)
208,0.000,0.000,0.002,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:228(_recursive_repr)
209,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:346(__init__)
209,0.000,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:392(_fields_in_init_order)
687,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:646(_is_classvar)
959,0.001,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:820(_set_qualname)
923,0.001,0.000,0.002,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:827(_set_new_attribute)
65,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:426(_get_iscased)
462,0.000,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:401(_tuple_str)
42,0.000,0.000,0.002,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:638(_hash_fn)
42,0.000,0.000,0.002,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:845(_hash_add)
209,0.000,0.000,0.063,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:1202(dataclass)
517,0.000,0.000,0.003,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:178(sub)
